created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 27 23:44:28 +0000 2023;1718051067156681006;"@awemany Ada cermin dirumahmu, tolong ngaca dulu sebelum berkoar koar di medsos. Lanjutkan, teruskan dan perubahan itu adalah pilihan. Dan Anies memilih perubahan sedangkan yg lainya memilih lanjutkan dan teruskan";0;0;0;0;in;1707435734;1717718443775176882;zuhripuding;https://twitter.com/zuhripuding/status/1718051067156681006
Fri Oct 27 23:44:12 +0000 2023;1718051000140038647;"@awemany Abang satu ini memarahi pendukung Anies cem mamak2 mau mens,  mungkin krn diapun sebetulnya tak bisa membuktikan bhw pimpinan partainya memiliki concern atas bangsa 😆🤭";0;0;0;0;in;1527861644399091712;1717718443775176882;mandaro_alam;https://twitter.com/mandaro_alam/status/1718051000140038647
Fri Oct 27 23:43:49 +0000 2023;1718050899854262468;"@yunartowijaya Kali ini betul kata pakar itu, dan kenyataan memang terjadi kami2 saja dan byk teman2 kami lainya secara tegas sdh beralih ke Anies....#fakta";0;0;0;0;in;1017753547390111747;1717743535896899926;Ay09359469;https://twitter.com/Ay09359469/status/1718050899854262468
Fri Oct 27 23:43:24 +0000 2023;1718050798037619081;"@voiceofpkb @aniesbaswedan @cakimiNOW Visi AMIN Anies -Muhaimin Indonesia yang Adil Makmur";0;0;0;1;in;946326287437635584;1717882299092701662;dodidores2211;https://twitter.com/dodidores2211/status/1718050798037619081
Fri Oct 27 23:43:22 +0000 2023;1718050788172276165;"@ElizarIrnold @are_inismyname @P4P4B0W0_2024 @99propaganda @Ndons_Back @bengkeldodo @AndreasSolusi @AlmaghribiS @DarekaRendy @BANGSAygSUJUD @Bank_Joee_ @florieliciouss Siapa yg ke istana,relawan mana yg dikumpulkan,ngmg sok tau,kl g suka y ga suka aj ,jgn kyk orang kepanikan gt,fokus ma Paslon kalian BKN sibuk nyinyirr,Anies itu mang g tau terima kasih,dah dibesarkan pak Prabowo malah melawan pak Prabowo sekarang,itu baru kentut berut kyk elu";0;0;0;0;in;1351168237342490628;1717697049670684690;FDonghun;https://twitter.com/FDonghun/status/1718050788172276165
Fri Oct 27 23:43:17 +0000 2023;1718050769436577895;"🔴 [LIVE] ANIES BASWEDAN - GUS IMIN SENAM DAN JALAN BARENG MASYARAKAT DEP... https://t.co/dwNIvyXwWL lewat @YouTube";0;0;0;0;in;1330435611430440962;1718050769436577895;SyamsirHMSyari2;https://twitter.com/SyamsirHMSyari2/status/1718050769436577895
Fri Oct 27 23:42:56 +0000 2023;1718050677736591781;"@voiceofpkb @aniesbaswedan @cakimiNOW Visi AMIN Anies -Muhaimin Indonesia yang Adil Makmur";0;0;0;1;in;946326287437635584;1717879172117512493;dodidores2211;https://twitter.com/dodidores2211/status/1718050677736591781
Fri Oct 27 23:41:31 +0000 2023;1718050321250017384;"Lama2 gw mikir apa kata botak Ancol si geizh tuh bener soal PSI .. selama ini nyerang Anies cuma buat pansos doang .. toh cuma berisik doang gak ada tindak lanjut , Anies tetep masih melenggang .. PSI tak ubahnya partai lain .. yg pentingin golongannya sendiri .mhahah";0;0;0;0;in;507233326;1718050321250017384;mas_ucupBensin;https://twitter.com/mas_ucupBensin/status/1718050321250017384
Fri Oct 27 23:41:30 +0000 2023;1718050319878455672;"@voiceofpkb @aniesbaswedan @cakimiNOW Program AMIN Anies -Muhaimin untuk Perubahan Indonesia";0;0;0;1;in;946326287437635584;1717874058342420991;dodidores2211;https://twitter.com/dodidores2211/status/1718050319878455672
Fri Oct 27 23:41:28 +0000 2023;1718050311829631004;"Pembenci Anies menjadi ketua relawan AMIN..  https://t.co/oppEWN2xH1";0;0;1;0;in;1522925118133051393;1718050311829631004;tedy_bambang;https://twitter.com/tedy_bambang/status/1718050311829631004
