created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 27 23:41:37 +0000 2023;1718050346193522940;"@Prihati_utami Alhamdulillah Bu Yenny Wahid mendukung pak Ganjar - Mahfud";0;0;0;0;in;1451197461691699207;1717821169020342313;istmeeta;https://twitter.com/istmeeta/status/1718050346193522940
Fri Oct 27 23:41:36 +0000 2023;1718050342821392667;"@otnayram_me Terima kasih atas dukungan nya Yenny Wahid kepada pak Ganjar Mahfud,semoga taun depan ganjar Mahfud terpilih menjadi presiden Indonesia";0;0;0;1;in;1427318081794154512;1717807930572222508;MShoqrun;https://twitter.com/MShoqrun/status/1718050342821392667
Fri Oct 27 23:41:32 +0000 2023;1718050326862045481;"Maka dari ini pilih lah capres yang anti maling APBD APBN anti PUNGLI seperti Ganjar Mahfud.  Karena apbd apbn itu amat sangat RAWAN di korupsi oleh pemimpin pemimpin jaman now";0;0;0;3;in;2549357702;1718050326862045481;sabar_setiabudi;https://twitter.com/sabar_setiabudi/status/1718050326862045481
Fri Oct 27 23:41:29 +0000 2023;1718050316183278046;"Ini alasan logis gue milih Ganjar Mahfud? Mau di akui atau ngga,di era Jokowi memang banyak sekali keberhasilan,tapi hanya satu yang gagal,untuk Maslah hukum Jokowi udah gagal? di periode ke dua ini,mungkin hanya di era Jokowi banyak menteri yg kena kasus korupsi.";0;0;1;1;in;1706804798618832897;1718050316183278046;AchmadSya383638;https://twitter.com/AchmadSya383638/status/1718050316183278046
Fri Oct 27 23:41:25 +0000 2023;1718050297048916477;"@ganjarpranowo Bismillah,, Ganjar Mahfud.";0;0;0;0;in;1592482854126374913;1717868311793614858;murayjawa24;https://twitter.com/murayjawa24/status/1718050297048916477
Fri Oct 27 23:41:17 +0000 2023;1718050262685020431;"@ganjarpranowo Pak Ganjar dimanapun beliau berada selalu disambut dengan antusias";0;0;0;0;in;927216932704567296;1717821233495175403;fp4cslwkhbr2k;https://twitter.com/fp4cslwkhbr2k/status/1718050262685020431
Fri Oct 27 23:41:08 +0000 2023;1718050227045925320;"Nih pendukung ganjar yg koar politik dinasti ..ada temen lama loe nih mau gabung ..🤣 Orang ngamuk gabung orang orng halu ...🤣 https://t.co/5Wtk2IFwzG";0;2;1;4;in;303182883;1718050227045925320;ade206;https://twitter.com/ade206/status/1718050227045925320
Fri Oct 27 23:41:08 +0000 2023;1718050224978235482;"@Dennysiregar7 Bisa aèe....rakyat gak sebodoh itu . Intinya siapapun diantara Ganjar atau Prabowo yg menang tetep aja PDIP pemenangnya . Dibuat aja seolah ribut diantara keluarga Jokowi sama partai . Udah beda bos yah sekarang  ? Jalur mana ?  tanya Permadi aaah......🤣🤣";0;0;0;0;in;894188596030132225;1717750796635275657;ArmyCRachman;https://twitter.com/ArmyCRachman/status/1718050224978235482
Fri Oct 27 23:41:07 +0000 2023;1718050222960676995;"@ganjarpranowo warga lampung memang luar biasa dalam menyambut dan menerima pak ganjar, seperti keluarga sendiri";0;0;0;0;in;1703996458029207553;1717908703717040536;freedomku11;https://twitter.com/freedomku11/status/1718050222960676995
Fri Oct 27 23:41:07 +0000 2023;1718050222864318599;"Hasil survei: paslon ganjar mahfud yang tertinggi https://t.co/pUGKeo04yx";0;0;0;0;in;1579385961766481920;1718050012654137719;ganjarDIY;https://twitter.com/ganjarDIY/status/1718050222864318599
Fri Oct 27 23:41:05 +0000 2023;1718050215494836697;"@ganjarpranowo Segala sesuatu yang besar pasti dimulai dari yang kecil dulu... Semua berproses dan butuh perjuangan. Ganjar Mahfud menang... Aamiin 🤟🇮🇩";0;0;1;2;in;1603588449256108032;1717821233495175403;ReneeEmbun;https://twitter.com/ReneeEmbun/status/1718050215494836697
Fri Oct 27 23:41:04 +0000 2023;1718050208649806331;"Hasil survei: paslon ganjar mahfud yang tertinggi https://t.co/TY31HJO7Xu";0;0;0;0;in;1579385961766481920;1718050012654137719;ganjarDIY;https://twitter.com/ganjarDIY/status/1718050208649806331
Fri Oct 27 23:41:00 +0000 2023;1718050193336381456;"Hasil survei: paslon ganjar mahfud yang tertinggi https://t.co/H8kfNklEDU";0;0;0;0;in;1579385961766481920;1718050012654137719;ganjarDIY;https://twitter.com/ganjarDIY/status/1718050193336381456
Fri Oct 27 23:40:59 +0000 2023;1718050188621934991;"@tvOneNews Ganjar Mahfudz mantap";0;0;0;0;in;1038062202555494400;1717874226403950884;KangMadin1;https://twitter.com/KangMadin1/status/1718050188621934991
Fri Oct 27 23:40:58 +0000 2023;1718050184071139698;"@ganjarpranowo Terus semangat pak Ganjar, karena banyak yg terus mendukung bapak sebagai pemimpin";0;0;0;0;in;1634770552186613761;1717868311793614858;hydraacons;https://twitter.com/hydraacons/status/1718050184071139698
Fri Oct 27 23:40:56 +0000 2023;1718050178119426415;"@pandji Drama politik aja itu om, seolah-olah berseberangan padahal masih 1 kolam. Ingat Ganjar dan Jokowi atau Gibran berasal dari 1 partai yg sama. Jadi pilpres ini sebenarnya hanya pertarungan Anies vs pdip";0;0;0;0;in;100733577;1717399181654974556;irwanezt;https://twitter.com/irwanezt/status/1718050178119426415
Fri Oct 27 23:40:54 +0000 2023;1718050166505418998;"@kumparan Ganjar untuk link bokep legalll🔥";0;0;0;0;in;1219033545458348032;1717900023093191165;anam_skenk;https://twitter.com/anam_skenk/status/1718050166505418998
Fri Oct 27 23:40:53 +0000 2023;1718050164857065911;"@Nikmatul_Sg Dukung terus pak ganjar - mahfud.. Mbak Yenny Wahid dukung terbaik";0;0;0;0;in;1688436866343940096;1717830743995695615;Yikomuta10;https://twitter.com/Yikomuta10/status/1718050164857065911
Fri Oct 27 23:40:53 +0000 2023;1718050163028304273;"@aniesmania Kalau pasangan Prabowo... kekurangan nya cuma wakilnya...... Kalau pasangan Ganjar.... bukan di wakilnya....tapi di capres nya belum cocok di presiden...... Kalau pasangan Anies... wakilnya nya juga kurang...tapi disegi umurnya kalau wakil Anis udah matang";0;0;0;0;in;1665408740349341696;1717016567937151179;RTeunom46280;https://twitter.com/RTeunom46280/status/1718050163028304273
Fri Oct 27 23:40:52 +0000 2023;1718050157735084240;"@NgkongRoses Speechless ttg Jokowi yg dulu pernah kita bela mati2an mah Ngkong.   Makanya nanti sj aku sapa beliau begitu Pelantikan Ganjar sebagai Presiden RI telah usai. Itupun klo aku ingat.🤭";0;1;2;3;in;1303615921550835712;1718047481068761579;RaniKancana;https://twitter.com/RaniKancana/status/1718050157735084240
Fri Oct 27 23:40:45 +0000 2023;1718050130262417418;"@ganjarpranowo dukungan Ganjar dari kalangan orang hebat";0;0;0;0;in;1635281813659877377;1717868311793614858;PalomaThompson8;https://twitter.com/PalomaThompson8/status/1718050130262417418
Fri Oct 27 23:40:44 +0000 2023;1718050124746949008;"Hasil survei: paslon ganjar mahfud yang tertinggi https://t.co/K6OJljVko3";0;0;0;0;in;1579385961766481920;1718050012654137719;ganjarDIY;https://twitter.com/ganjarDIY/status/1718050124746949008
Fri Oct 27 23:40:42 +0000 2023;1718050116861595883;"@ganjarpranowo Ganjar emg sosok yg sederhana.saya salut pak";0;0;0;0;in;1714064976011206656;1717908703717040536;sofisofia_s;https://twitter.com/sofisofia_s/status/1718050116861595883
Fri Oct 27 23:40:41 +0000 2023;1718050113669755149;"@PartaiSocmed Yang jelas bu susi jangan ke ganjar😭😭😭";0;0;0;0;in;1504627720915132416;1717888167293096142;emyr_za;https://twitter.com/emyr_za/status/1718050113669755149
Fri Oct 27 23:40:38 +0000 2023;1718050101887979570;"Semu dukung Ganjar jadi Presiden 2024   #GanjarMahfudFriendly #GanjarMahfudTanpaDrama #GanjarMahfudTakGentar #GanjarMahfudPilihanRakyat https://t.co/Ro9CvNSQXL";0;0;0;0;in;1648345122982215681;1718050101887979570;PrawiroAstro;https://twitter.com/PrawiroAstro/status/1718050101887979570
Fri Oct 27 23:40:33 +0000 2023;1718050081793011933;"Semu dukung Ganjar jadi Presiden 2024   #GanjarMahfudFriendly #GanjarMahfudTanpaDrama #GanjarMahfudTakGentar #GanjarMahfudPilihanRakyat https://t.co/ejkJOBPlEJ";0;0;0;0;in;1648345122982215681;1718050081793011933;PrawiroAstro;https://twitter.com/PrawiroAstro/status/1718050081793011933
Fri Oct 27 23:40:29 +0000 2023;1718050064407670891;"@ganjarpranowo Selamat ulang tahun pak ganjar, panjang umur dan 2024 presiden Aamin";0;0;0;0;in;1604116265228193793;1717391953510502838;waluyo45384697;https://twitter.com/waluyo45384697/status/1718050064407670891
Fri Oct 27 23:40:26 +0000 2023;1718050049601708211;"@ganjarpranowo mantap pak Ganjar memang yang terbaik";0;0;0;0;in;1641817093967609858;1717868311793614858;aydeliaaa;https://twitter.com/aydeliaaa/status/1718050049601708211
Fri Oct 27 23:40:24 +0000 2023;1718050040978223368;"Semu dukung Ganjar jadi Presiden 2024   #GanjarMahfudFriendly #GanjarMahfudTanpaDrama #GanjarMahfudTakGentar #GanjarMahfudPilihanRakyat https://t.co/ie1mrhXbMu";0;0;0;0;in;1648345122982215681;1718050040978223368;PrawiroAstro;https://twitter.com/PrawiroAstro/status/1718050040978223368
Fri Oct 27 23:40:18 +0000 2023;1718050018375217357;"@ganjarpranowo Sifat sederhana seorang Ganjar bisa tinggal dmn aja g perlu yg mewah";0;0;0;0;in;1699637381861949440;1717908703717040536;bvtitaa;https://twitter.com/bvtitaa/status/1718050018375217357
Fri Oct 27 23:40:17 +0000 2023;1718050012654137719;"Hasil survei: paslon ganjar mahfud yang tertinggi https://t.co/3TNGATpBH4";0;4;0;0;in;1579385961766481920;1718050012654137719;ganjarDIY;https://twitter.com/ganjarDIY/status/1718050012654137719
Fri Oct 27 23:40:15 +0000 2023;1718050006207516734;"Semu dukung Ganjar jadi Presiden 2024   #GanjarMahfudFriendly #GanjarMahfudTanpaDrama #GanjarMahfudTakGentar #GanjarMahfudPilihanRakyat https://t.co/U8V2gZj596";0;0;0;0;in;1648345122982215681;1718050006207516734;PrawiroAstro;https://twitter.com/PrawiroAstro/status/1718050006207516734
Fri Oct 27 23:40:10 +0000 2023;1718049983516262883;"@Melihat_Indo @ganjarpranowo @mohmahfudmd Alhamdulillah dukungan Yenny Wahid untuk pak ganjar semangat teruss dukung";0;0;0;0;in;1688436866343940096;1717826893150560583;Yikomuta10;https://twitter.com/Yikomuta10/status/1718049983516262883
Fri Oct 27 23:40:10 +0000 2023;1718049981989605866;"@ganjarpranowo Alhamdulillah semakin banyak yg mendukung Ganjar-Mahfud";0;0;0;0;in;1686900270037696512;1717868311793614858;arinaakim0;https://twitter.com/arinaakim0/status/1718049981989605866
Fri Oct 27 23:39:50 +0000 2023;1718049900116742361;"Soal menginap di rumah warga, mas Ganjar sih udah biasa. 👍  Dalam kunjungan ke Jepara Lampung Timur, Calon Presiden Ganjar Pranowo menginap di rumah seorang warga setempat dan menghadirkan momen istimewa.  Dengan sambutan tarian khas yang meriah, Ganjar tidak hanya… https://t.co/vv8opAhhcK";2;1;22;48;in;2650421658;1718049900116742361;NgkongRoses;https://twitter.com/NgkongRoses/status/1718049900116742361
Fri Oct 27 23:39:49 +0000 2023;1718049893129015433;"@ganjarpranowo berkumpul dengan rakyat dan menyerap aspirasi langsung memang sangat dicari dari sosok pemimpin masa depan seperti pak ganjar";0;0;0;0;in;1704000024496250880;1717908703717040536;susterku11;https://twitter.com/susterku11/status/1718049893129015433
Fri Oct 27 23:59:52 +0000 2023;1718054942290895167;"Kalau ingin lihat Wajah Toleransi INDONESIA yg sesungguhnya hanya ada pada pasangan GANJAR-WAHFUD.  Menurut hasil survei LSI, sebanyak 57,7 % pemilih NON MUSLIM  pilih GANJAR-MHFUD. Mengapa? Karena toleransinya Ganjar-Mahfud bukan sekedar basa basi atau pencitraan. https://t.co/0rO1WaHSKF";1;18;11;44;in;938664737369341952;1718054942290895167;DoankWarto;https://twitter.com/DoankWarto/status/1718054942290895167
Fri Oct 27 23:59:49 +0000 2023;1718054928705552426;"@kiki_daliyo Alhamdulillah bu Yenny Wahid dari kader gus dur mendukung pak Ganjar - Mahfud https://t.co/LwkNLWa9Zu";0;0;0;0;in;1505704619217137665;1717826240336572680;teyfina21;https://twitter.com/teyfina21/status/1718054928705552426
Fri Oct 27 23:59:36 +0000 2023;1718054875408556466;"@ganjarpranowo Jadi tambah semangat nih..yukss gaspol Ganjar Mahfud";0;0;0;0;in;1696826845591957504;1717868311793614858;cambufk;https://twitter.com/cambufk/status/1718054875408556466
Fri Oct 27 23:59:46 +0000 2023;1718054916076552694;"@xaveroz85325 @Arie_Kriting Sebenarnya bang ari udah nyebut ganjar, cuma di cut seenaknya sama pihak TV wkwkwk";0;1;0;5;in;552599206;1717911777428828383;Alfiando_20;https://twitter.com/Alfiando_20/status/1718054916076552694
Fri Oct 27 23:59:35 +0000 2023;1718054869997891949;"@Paltiwest Tatapi semua dia roasting. Yaa gapapa sih. Maklum kalian pendukung ganjar soalnya. Jadi tolol semua 🤣";0;0;0;0;in;1639299158514470914;1717783485153476958;papboogil;https://twitter.com/papboogil/status/1718054869997891949
Fri Oct 27 23:59:33 +0000 2023;1718054863190597849;"@kikitaroreh @logikapolitikid Cm Ganjar yg berani teriak tolak Israel  Yg lain ga bernyali";0;1;0;0;in;1202203246778966017;1716629200902504660;CocotBoros98;https://twitter.com/CocotBoros98/status/1718054863190597849
Fri Oct 27 23:59:33 +0000 2023;1718054862267842573;"@ganjarpranowo Mantap pakk Ganjar terus lestarikan kebudayaan kita";0;0;0;0;in;1706643106760921088;1717775614785310919;Manhaa4_;https://twitter.com/Manhaa4_/status/1718054862267842573
Fri Oct 27 23:59:31 +0000 2023;1718054851056484766;"@kumparan All in ganjar Mahfud";0;0;0;0;in;1427318081794154512;1717900023093191165;MShoqrun;https://twitter.com/MShoqrun/status/1718054851056484766
Fri Oct 27 23:59:28 +0000 2023;1718054841665323371;"@Putra_Sangihe @yunartowijaya kalopun dukung ganjar data si toto itu yg pertama harus diskip.. Udah pasti enggak akurat, di 2017 juga ancem2 begini, eh Ahok kejeblos. Wkwkkwk";0;0;1;1;in;802480081624911872;1717913498913779732;boemiputra1;https://twitter.com/boemiputra1/status/1718054841665323371
Fri Oct 27 23:59:24 +0000 2023;1718054824510624005;"@tribunnews selalu dukung Ganjar Mahfud krna bersama mereka Indonesia pasti maju";0;0;0;1;in;1652484661069885442;1717360401590239366;AriWijaya530371;https://twitter.com/AriWijaya530371/status/1718054824510624005
Fri Oct 27 23:59:20 +0000 2023;1718054805460177100;"@Paltiwest situ ga tau malu ya, ngatain orang pengkhianat, orang ga mau dukung ganjar kok situ maksa, orang tuh pny hak untuk memilih, jangan sok maksa2 harus milih yg ga sesuai hatinya";0;0;0;1;in;890231491816546304;1718034076391854395;3839TC;https://twitter.com/3839TC/status/1718054805460177100
Fri Oct 27 23:59:24 +0000 2023;1718054822853976101;"@adearmando61 PILIH GANJAR GA PAKE GADUH.. HAPPY AJA, KADRUN BELON NONGOL";0;0;0;0;in;369311266;1718046126304334082;borja_juanborja;https://twitter.com/borja_juanborja/status/1718054822853976101
Fri Oct 27 23:59:05 +0000 2023;1718054742843383860;"@Dennysiregar7 Kasian juga Pak Ganjar dan Pak Mahfud jarang dibahas sama pendukungnya. Pendukung / buzzer sibuk maki2 capres lain 🫣😅🤭";0;0;0;0;in;1714444380063551488;1717128024414691599;jeekumalasari;https://twitter.com/jeekumalasari/status/1718054742843383860
Fri Oct 27 23:58:52 +0000 2023;1718054690607526292;"YENNY WAHID BAWA GERBONG GUSDURIAN DUKUNG GANJAR-MAHFUD !!!";0;0;0;0;in;272396950;1718054690607526292;ringotorus;https://twitter.com/ringotorus/status/1718054690607526292
Fri Oct 27 23:58:47 +0000 2023;1718054667769491950;"@IDNTimes Gas gas gas gas kita dukung ganjar mahfud untuk Indonesia unggul 🔥";0;0;0;0;in;1427318081794154512;1717678768796659718;MShoqrun;https://twitter.com/MShoqrun/status/1718054667769491950
