created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 27 23:59:44 +0000 2023;1718054909386568060;"@UmarSyadatHsb__ Semoga bapak @aniesbaswedan tidak seperti bapak @prabowo yg telah mengecewakan org org yg telah mendukungnya terutama umat islam";0;0;0;0;in;1690797007848566784;1717930597908406304;baladatemp81441;https://twitter.com/baladatemp81441/status/1718054909386568060
Fri Oct 27 23:59:39 +0000 2023;1718054887093862467;"@Sandal_jepit77 @kikysaputrii Mana berani dia roasting Prabowo, gak ada nyali buat roasting prabowo ya kan mbok @kikysaputrii";0;3;0;0;in;1612414557968011269;1717796048259932644;HarryPurba21;https://twitter.com/HarryPurba21/status/1718054887093862467
Fri Oct 27 23:59:20 +0000 2023;1718054807318175877;"@M007Bro @Tita83079013 @prabowo @ganjarpranowo @aniesbaswedan Prabowo masih mesra dgn kelompok garis keras .. cuma Lum show off aja";0;0;0;0;in;507233326;1717381555763789913;mas_ucupBensin;https://twitter.com/mas_ucupBensin/status/1718054807318175877
Fri Oct 27 23:59:00 +0000 2023;1718054721707970762;"Luhut Sebut Pasangan Prabowo-Gibran Simbol Harapan Indonesia Maju #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/Rq2RAt3qiE";0;0;10;6;in;721898354502930433;1718054721707970762;golkarpedia;https://twitter.com/golkarpedia/status/1718054721707970762
Fri Oct 27 23:58:59 +0000 2023;1718054717119705392;"@panjianom102 @prabowo Capresnya lelah bang 🫢🫢";0;1;1;1;in;1648977519390097408;1717961123666997601;NichNach8;https://twitter.com/NichNach8/status/1718054717119705392
Fri Oct 27 23:58:56 +0000 2023;1718054705941864671;"@Gerindra selamat pagi mindra, bbrp hari lagi aku mau wisuda,, mau dpt hadiah dong dari pak prabowo sm mindra biar semangat wisudanya🥰🙏";0;0;0;0;in;1717935251832578048;1718054705941864671;icyptryzzz;https://twitter.com/icyptryzzz/status/1718054705941864671
Fri Oct 27 23:58:32 +0000 2023;1718054603349184667;"@airlangga_hrt @prabowo @gibran_tweet Partai paling g senior gak punya kader kah?? Mana kaderisasi golkar pak??";0;0;0;0;in;1637613521583349762;1717755877200183789;Mukhlis_Yo;https://twitter.com/Mukhlis_Yo/status/1718054603349184667
Fri Oct 27 23:58:29 +0000 2023;1718054594696380804;"@willsarana Dari ketiga capres, anak tk jg tau kalo ganjar yg plg qualified utk menjadi pemimpin bangsa ini, trek record sdh teruji dan perform, apalagi ditambah prof mahfud. Trus kenapa kalian malah ke prabowo? Apakah kalian lbh bodoh dari anak tk? Ato ada faktor yg amis2?";0;0;0;0;in;153340589;1717776972791898365;hermantwitt;https://twitter.com/hermantwitt/status/1718054594696380804
Fri Oct 27 23:58:15 +0000 2023;1718054533144973818;"@Dennysiregar7 Jujur saja, tanpa Gibran saya emoh pilih Prabowo.. Gibran yg membuat saya beralih dari Ganjar ke Prabowo. Narasi2 densi yg mendiskreditkan Gibran cuma terdengar seperti bunyi kentut bau taik onta bahlul..gak ngaruh blaaasss..";0;0;0;0;in;1221302454383284224;1717750796635275657;chrisnath70;https://twitter.com/chrisnath70/status/1718054533144973818
Fri Oct 27 23:57:48 +0000 2023;1718054419546423494;"@Paltiwest @psi_id mengklaim sebagai partai anak muda, TAPI khusus untuk anak-anak muda PLIN PLAN  dan tidak berintegritas  Dulu memberikan award kebohongan kepada Prabowo  sekarang mendukung Prabowo Dulu mengecam politik dinasti, sekarang mendukung anak2 Jokowi https://t.co/1y9yt5Cqui";0;0;2;3;in;363380931;1718042407051350117;syueb2011;https://twitter.com/syueb2011/status/1718054419546423494
Fri Oct 27 23:57:43 +0000 2023;1718054400114270322;"@Heraloebss @gibran_tweet @prabowo minimal malu, ngangkangin undang undang demi nafsu keluarga 🤣😭";0;2;1;5;in;2480056782;1718048468793757983;farizaryf;https://twitter.com/farizaryf/status/1718054400114270322
Fri Oct 27 23:57:40 +0000 2023;1718054387296383304;"@detikcom Belagu amat yaakkk😄. Iyain dehh..prabowo aje udh di tenang2in ada saya.";0;0;0;0;in;882187916809617412;1717795800867369109;sweetpeony15;https://twitter.com/sweetpeony15/status/1718054387296383304
Fri Oct 27 23:57:21 +0000 2023;1718054307894083607;"@Heraloebss @gibran_tweet @prabowo Ya nggaklah kak..  - masa capres-cawapres PDIP , mbk puan cuma bilang berpotensi - yang mengajukan gugatan ambang batas usia dari team mana ? PSI-Garuda.. - yang ngotot dan jelas jelas minta gibran cawapres siapa? Pak prabowo langsung yg meminta...  Hitam hitam, putih putih";0;0;0;2;in;1648977519390097408;1718048468793757983;NichNach8;https://twitter.com/NichNach8/status/1718054307894083607
Fri Oct 27 23:57:06 +0000 2023;1718054243356320080;"Tiba di Kupang, Kaesang Akan Bertemu Relawan Jokowi untuk Menangkan Prabowo-Gibran - Flores Editorial - Flores Editorial https://t.co/fOaIiCxZAz #prabowo #MenataMasaDepan #BersamaPrabowo";0;0;8;0;in;1068101963059879936;1718054243356320080;AdrianaDaneen;https://twitter.com/AdrianaDaneen/status/1718054243356320080
Fri Oct 27 23:57:05 +0000 2023;1718054240957186311;"@dAsalbantani @ismailfahmi @ganjarpranowo @prabowo Mungkin di rezim yg sekarang telah membebaskan judi online dan pinjaman online. Makanya bebas berkeliaran.";0;0;0;0;in;1310584490;1717858407926169667;DzakwanFirst;https://twitter.com/DzakwanFirst/status/1718054240957186311
Fri Oct 27 23:56:48 +0000 2023;1718054170409021445;"@IrfanSofani PDIP gk salah ko. Smua partai mmg ingin berkuasa. Salahny adalah gap survey antara ganjar n prabowo tdk jauh beda. Selisih sdikit yg bisa dipush dgn kmpamye nnti. Klo beda bget, sy yakin akn ada titik temu mereka utk mmutuskn mna capres n cawapres.";0;0;0;0;in;870591472306864129;1717812786519306425;tjahjo1008;https://twitter.com/tjahjo1008/status/1718054170409021445
